School,Name,avg,r ,h ,hr ,slg% ,ob% ,ops%
Richmond,"Capra, Vinny",0.345,26.000,39.000,1.000,0.478,0.479,0.957
Richmond,"Brumbaugh, Daniel",0.286,21.000,32.000,0.000,0.330,0.372,0.702
Richmond,"Bruhl, Sage",0.284,15.000,25.000,1.000,0.364,0.420,0.784
Richmond,"Miller, Tim",0.275,8.000,19.000,1.000,0.406,0.363,0.769
Richmond,"Adams, Kyle",0.261,18.000,24.000,4.000,0.435,0.398,0.833
Richmond,"Forte, Anthony",0.258,20.000,25.000,0.000,0.361,0.308,0.669
Richmond,"Schulefand, Jordan",0.243,9.000,17.000,0.000,0.300,0.353,0.653
Richmond,"Lee, D.J.",0.238,23.000,24.000,2.000,0.337,0.354,0.691
Richmond,"Johnson, Brandon",0.367,6.000,11.000,0.000,0.500,0.472,0.972
Richmond,"Plantier, Tyler",0.300,8.000,15.000,2.000,0.520,0.407,0.927
Richmond,"Strait, Michael",0.250,1.000,2.000,0.000,0.375,0.250,0.625
Richmond,"Schmidt, Kyle",0.227,10.000,15.000,1.000,0.318,0.292,0.610
Richmond,"Cook, Justin",0.182,4.000,8.000,0.000,0.273,0.234,0.507
Richmond,"Shaw, Ryan",0.143,4.000,3.000,0.000,0.143,0.308,0.451
Richmond,"Payne, Davis",0.000,1.000,0.000,0.000,0.000,0.222,0.222
Richmond,"Vaught, Cullen",0.000,2.000,0.000,0.000,0.000,0.125,0.125
Richmond,"Kurtz, Zach",0.000,2.000,0.000,0.000,0.000,0.500,0.500
Davidson,"JONES, Eric  ",0.330,23 ,38 ,7 ,0.583,0.435,1.018
Davidson,"JOHNSON, Cam  ",0.323,19 ,21 ,2 ,0.538,0.427,0.965
Davidson,"BORN, Andrew  ",0.281,15 ,16 ,0 ,0.316,0.440,0.756
Davidson,"MARDINEY, Alex  ",0.277,14 ,31 ,0 ,0.321,0.379,0.700
Davidson,"CENTRACCHIO, Brett  ",.276 ,27 ,32 ,4 ,0.431,0.414,0.845
Davidson,"BAZIN, Max  ",.275 ,16 ,28 ,2 ,0.373,0.375,0.748
Davidson,"COLEMAN, Ward  ",.261 ,12 ,31 ,3 ,0.395,0.336,0.731
Davidson,"FREY, Matt  ",.250 ,3 ,5 ,1 ,0.450,0.286,0.736
Davidson,"ACOSTA, Alec  ",.243 ,20 ,27 ,4 ,0.405,0.368,0.773
Davidson,"IMWALLE, Walker  ",.224 ,9 ,11 ,5 ,0.551,0.321,0.872
Davidson,"LEBEK, Justin  ",.217 ,22 ,23 ,4 ,0.377,0.364,0.741
Davidson,"LOWE, Greg  ",.208 ,8 ,5 ,0 ,0.208,0.486,0.694
Davidson,"NUSSBAUM, Zach  ",.048 ,5 ,1 ,1 ,0.190,0.250,0.440
George Mason,"Driscoll, Logan 22 Driscoll, Logan",0.393,23.000,46.000,3.000,0.547,0.444,0.991
George Mason,"Kelly, Trevor 11 Kelly, Trevor",0.298,23.000,36.000,3.000,0.479,0.338,0.817
George Mason,"Aponte, Alejandro 29 Aponte, Alejandro",0.269,17.000,25.000,1.000,0.312,0.367,0.679
George Mason,"Sturek, Frank 39 Sturek, Frank",0.223,23.000,23.000,1.000,0.359,0.350,0.709
George Mason,"Nelin, Tyler 3 Nelin, Tyler",0.344,4.000,21.000,0.000,0.377,0.461,0.838
George Mason,"Acker, Brady 21 Acker, Brady",0.343,8.000,12.000,1.000,0.571,0.452,1.023
George Mason,"Klein, Bailey 34 Klein, Bailey",0.321,2.000,9.000,0.000,0.464,0.364,0.828
George Mason,"Smith, Michael 7 Smith, Michael",0.284,8.000,19.000,0.000,0.358,0.347,0.705
George Mason,"Popatak II, Greg 18 Popatak II, Greg",0.254,8.000,18.000,0.000,0.352,0.426,0.778
