school,name,avg,runs,pa,runs/pa,h,hr,slg%,ob%,ops%
Davidson,"ACOSTA, Alec  ",0.243,20.000,141.000,0.142,27.000,4.000,0.405,0.368,0.773
Davidson,"BAZIN, Max  ",0.275,16.000,123.000,0.130,28.000,2.000,0.373,0.375,0.748
Davidson,"BORN, Andrew  ",0.281,15.000,76.000,0.197,16.000,0.000,0.316,0.440,0.756
Davidson,"CENTRACCHIO, Brett  ",0.276,27.000,146.000,0.185,32.000,4.000,0.431,0.414,0.845
Davidson,"COLEMAN, Ward  ",0.261,12.000,134.000,0.090,31.000,3.000,0.395,0.336,0.731
Davidson,"FREY, Matt  ",0.250,3.000,21.000,0.143,5.000,1.000,0.450,0.286,0.736
Davidson,"IMWALLE, Walker  ",0.224,9.000,56.000,0.161,11.000,5.000,0.551,0.321,0.872
Davidson,"JOHNSON, Cam  ",0.323,19.000,82.000,0.232,21.000,2.000,0.538,0.427,0.965
Davidson,"JONES, Eric  ",0.330,23.000,138.000,0.167,38.000,7.000,0.583,0.435,1.018
Davidson,"LEBEK, Justin  ",0.217,22.000,132.000,0.167,23.000,4.000,0.377,0.364,0.741
Davidson,"LOWE, Greg  ",0.208,8.000,37.000,0.216,5.000,0.000,0.208,0.486,0.694
Davidson,"MARDINEY, Alex  ",0.277,14.000,132.000,0.106,31.000,0.000,0.321,0.379,0.700
Davidson,"NUSSBAUM, Zach  ",0.048,5.000,30.000,0.167,1.000,1.000,0.190,0.250,0.440
Fordham,"Baker, Jake",0.267,15.000,100.000,0.150,23.000,0.000,0.326,0.330,0.656
Fordham,"Bardwell, Justin",0.250,15.000,115.000,0.130,25.000,0.000,0.320,0.339,0.659
Fordham,"Brown, Casey",0.375,2.000,8.000,0.250,3.000,0.000,0.500,0.375,0.875
Fordham,"DiMeglio, Anthony",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Fordham,"Doria, Nico",0.400,8.000,24.000,0.333,8.000,0.000,0.450,0.500,0.950
Fordham,"Godrick, Billy",0.305,19.000,128.000,0.148,32.000,3.000,0.448,0.421,0.869
Fordham,"Goulard, Brian",0.253,13.000,104.000,0.125,23.000,0.000,0.308,0.324,0.632
Fordham,"Knehr, Reiss",0.273,6.000,41.000,0.146,9.000,1.000,0.394,0.375,0.769
Fordham,"Labella, Nick ",0.240,14.000,117.000,0.120,24.000,1.000,0.330,0.328,0.658
Fordham,"Machado, Justin",0.267,5.000,21.000,0.238,4.000,0.000,0.400,0.450,0.850
Fordham,"MacKenzie, Jake",0.272,21.000,124.000,0.169,28.000,3.000,0.505,0.372,0.877
Fordham,"Melendez, Alvin",0.288,20.000,103.000,0.194,23.000,0.000,0.400,0.400,0.800
Fordham,"Snelling, Colton",0.286,5.000,24.000,0.208,8.000,0.000,0.321,0.394,0.715
Fordham,"Spampinato, david",0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.250,0.250
Fordham,"Tarabek, Matt",0.295,19.000,122.000,0.156,31.000,1.000,0.400,0.383,0.783
Fordham,"Vazquez, C.J.",0.303,13.000,93.000,0.140,23.000,0.000,0.342,0.404,0.746
George Mason,"Acker, Brady",0.343,8.000,42.000,0.190,12.000,1.000,0.571,0.452,1.023
George Mason,"Aponte, Alejandro",0.269,17.000,109.000,0.156,25.000,1.000,0.312,0.367,0.679
George Mason,"Brooks, Daniel",0.193,11.000,66.000,0.167,11.000,1.000,0.316,0.277,0.593
George Mason,"Callahan, John",0.140,4.000,55.000,0.073,7.000,1.000,0.200,0.170,0.370
George Mason,"Driscoll, Garett",0.222,8.000,55.000,0.145,10.000,0.000,0.267,0.345,0.612
George Mason,"Driscoll, Logan",0.393,23.000,135.000,0.170,46.000,3.000,0.547,0.444,0.991
George Mason,"Kelly, Trevor",0.298,23.000,133.000,0.173,36.000,3.000,0.479,0.338,0.817
George Mason,"Klein, Bailey",0.321,2.000,33.000,0.061,9.000,0.000,0.464,0.364,0.828
George Mason,"Morgan, Scott",0.125,5.000,68.000,0.074,7.000,1.000,0.179,0.265,0.444
George Mason,"Nelin, Tyler",0.344,4.000,76.000,0.053,21.000,0.000,0.377,0.461,0.838
George Mason,"Popatak II, Greg",0.254,8.000,96.000,0.083,18.000,0.000,0.352,0.426,0.778
George Mason,"Quinn, Tim",0.136,5.000,67.000,0.075,8.000,0.000,0.169,0.215,0.384
George Mason,"Smith, Michael",0.284,8.000,77.000,0.104,19.000,0.000,0.358,0.347,0.705
George Mason,"Sturek, Frank",0.223,23.000,125.000,0.184,23.000,1.000,0.359,0.350,0.709
George Mason,"Tassone, Ryan",0.105,5.000,26.000,0.192,2.000,0.000,0.158,0.280,0.438
George Mason,"Turner, Timothy",0.125,2.000,12.000,0.167,1.000,0.000,0.125,0.300,0.425
George Washington,"Barmakian, Steven  ",0.339,29.000,135.000,0.215,39.000,0.000,0.409,0.421,0.830
George Washington,"Brophy, Colin  ",0.263,19.000,115.000,0.165,26.000,1.000,0.374,0.345,0.719
George Washington,"Chapman, Brandon  ",0.220,10.000,101.000,0.099,18.000,1.000,0.268,0.350,0.618
George Washington,"Cosentino, Matt  ",0.274,23.000,133.000,0.173,32.000,2.000,0.376,0.348,0.724
George Washington,"D'Alessandro,Dominic ",0.317,14.000,113.000,0.124,32.000,2.000,0.455,0.389,0.844
George Washington,"Fassnacht, Nate  ",0.283,26.000,137.000,0.190,32.000,1.000,0.389,0.387,0.776
George Washington,"Holtzapple, Bryant  ",0.192,1.000,29.000,0.034,5.000,0.000,0.192,0.241,0.433
George Washington,"Kuncl, Trevor  ",0.056,1.000,19.000,0.053,1.000,0.000,0.056,0.105,0.161
George Washington,"Martin, Sam  ",0.308,1.000,15.000,0.067,4.000,0.000,0.308,0.400,0.708
George Washington,"Metz, Robbie  ",0.318,27.000,143.000,0.189,42.000,3.000,0.455,0.336,0.791
George Washington,"O'Rourke, Alex  ",0.000,1.000,9.000,0.111,0.000,0.000,0.000,0.000,0.000
George Washington,"Osis, Mark  ",0.358,27.000,142.000,0.190,43.000,5.000,0.600,0.440,1.040
George Washington,"Pasteur, Isaiah  ",0.333,35.000,149.000,0.235,44.000,9.000,0.636,0.399,1.035
Massachusetts,"DiOrio, Frank",0.250,6.000,42.000,0.143,9.000,0.000,0.306,0.325,0.631
Massachusetts,"Evangelista, Brett",0.174,5.000,26.000,0.192,4.000,0.000,0.261,0.200,0.461
Massachusetts,"Fry, Marcus",0.242,11.000,74.000,0.149,16.000,1.000,0.364,0.311,0.675
Massachusetts,"Greene, Logan",0.229,6.000,59.000,0.102,11.000,1.000,0.313,0.362,0.675
Massachusetts,"Hart, Eddy",0.291,19.000,101.000,0.188,25.000,2.000,0.419,0.390,0.809
Massachusetts,"Kessinger, Nolan",0.270,8.000,92.000,0.087,20.000,0.000,0.351,0.371,0.722
Massachusetts,"Lever, Ryan",0.307,16.000,101.000,0.158,27.000,0.000,0.352,0.370,0.722
